COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,Mayor – City of Frisco,Mayor – City of Frisco,Mayor – City of Frisco,Mayor – City of Frisco,City Council - Seat No. 4 - City of Princeton,City Council - Seat No. 4 - City of Princeton,City Council - Seat No. 4 - City of Princeton,City Council - Seat No. 4 - City of Princeton,"City Council, Place 4 – City of Sachse","City Council, Place 4 – City of Sachse","City Council, Place 4 – City of Sachse","City Council, Place 4 – City of Sachse"
,,,,,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON,NON
,,,VOTERS,BALLOTS CAST,Rod Vilhauer,Mark Hill,OVER VOTES,UNDER VOTES,Jan Goria,Jaisen Rutledge,OVER VOTES,UNDER VOTES,Gurvinder Singh,Tim Legh-Page,OVER VOTES,UNDER VOTES
COLLI,1,Precinct 004,4393,0,0,0,0,0,0,0,0,0,0,0,0,0
COLLI,2,Precinct 008,6155,0,0,0,0,0,0,0,0,0,0,0,0,0
COLLI,3,Precinct 009,4285,137,0,0,0,0,64,71,0,2,0,0,0,0
COLLI,4,Precinct 030,1039,170,82,88,0,0,0,0,0,0,0,0,0,0
COLLI,5,Precinct 087,3673,1255,312,940,1,2,0,0,0,0,0,0,0,0
COLLI,6,Precinct 092,4815,553,220,333,0,0,0,0,0,0,0,0,0,0
COLLI,7,Precinct 100,2125,18,0,0,0,0,12,6,0,0,0,0,0,0
COLLI,8,Precinct 101,4317,721,324,397,0,0,0,0,0,0,0,0,0,0
COLLI,9,Precinct 111,3084,824,514,309,0,1,0,0,0,0,0,0,0,0
COLLI,10,Precinct 114,5272,100,0,0,0,0,40,60,0,0,0,0,0,0
COLLI,11,Precinct 117,4204,818,355,463,0,0,0,0,0,0,0,0,0,0
COLLI,12,Precinct 118,4222,979,445,534,0,0,0,0,0,0,0,0,0,0
COLLI,13,Precinct 127,3984,725,321,404,0,0,0,0,0,0,0,0,0,0
COLLI,14,Precinct 134,4184,886,291,595,0,0,0,0,0,0,0,0,0,0
COLLI,16,Precinct 146,4770,913,392,517,2,2,0,0,0,0,0,0,0,0
COLLI,17,Precinct 153,4056,484,0,0,0,0,0,0,0,0,233,251,0,0
COLLI,18,Precinct 170,1879,201,0,0,0,0,0,0,0,0,66,135,0,0
COLLI,19,Precinct 177,3644,405,228,177,0,0,0,0,0,0,0,0,0,0
COLLI,20,Precinct 184,3324,226,104,122,0,0,0,0,0,0,0,0,0,0
COLLI,22,Precinct 205,1277,164,0,0,0,0,0,0,0,0,53,111,0,0
COLLI,23,Precinct 209,164,35,25,10,0,0,0,0,0,0,0,0,0,0
COLLI,24,Precinct 212,2707,889,251,638,0,0,0,0,0,0,0,0,0,0
COLLI,25,Precinct 215,4083,79,0,0,0,0,39,40,0,0,0,0,0,0
COLLI,26,Precinct 220,2684,585,179,406,0,0,0,0,0,0,0,0,0,0
COLLI,27,Precinct 225,3914,962,309,653,0,0,0,0,0,0,0,0,0,0
COLLI,28,Precinct 228,4967,142,0,0,0,0,57,85,0,0,0,0,0,0
COLLI,29,Precinct 229,2539,416,157,259,0,0,0,0,0,0,0,0,0,0
COLLI,30,Precinct 234,3635,1126,336,789,1,0,0,0,0,0,0,0,0,0
COLLI,31,Precinct 244,3171,897,348,547,1,1,0,0,0,0,0,0,0,0
COLLI,32,Precinct 245,2673,376,192,184,0,0,0,0,0,0,0,0,0,0
COLLI,33,Precinct 248,2364,404,141,262,1,0,0,0,0,0,0,0,0,0
COLLI,34,Precinct 250,4225,1545,417,1127,0,1,0,0,0,0,0,0,0,0
COLLI,35,Precinct 253,3416,891,209,682,0,0,0,0,0,0,0,0,0,0
COLLI,36,Precinct 254,1324,45,0,0,0,0,26,19,0,0,0,0,0,0
COLLI,37,Precinct 257,1628,12,0,0,0,0,3,9,0,0,0,0,0,0
COLLI,38,Precinct 264,3852,1091,564,525,1,1,0,0,0,0,0,0,0,0
COLLI,40,LB 02,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COLLI,ZZZ,COUNTY TOTALS,126203,19092,6718,10963,7,8,246,294,0,2,354,500,0,0
