COUNTY NUMBER,PRECINCT CODE,PRECINCT NAME,REGISTERED VOTERS TOTAL,BALLOTS CAST TOTAL,BALLOTS CAST - Republican Party,BALLOTS CAST - Democratic Party,REP US Senator,REP US Senator,REP US Senator,REP US Senator,REP Attorney General,REP Attorney General,REP Attorney General,REP Attorney General,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,REP Railroad Commissioner,"REP Judge, Court of Criminal Appeals, Place 3","REP Judge, Court of Criminal Appeals, Place 3","REP Judge, Court of Criminal Appeals, Place 3","REP Judge, Court of Criminal Appeals, Place 3","REP Justice of the Peace, Precinct No. 4","REP Justice of the Peace, Precinct No. 4","REP Justice of the Peace, Precinct No. 4","REP Justice of the Peace, Precinct No. 4",REP Precinct Chair No. 114,REP Precinct Chair No. 114,REP Precinct Chair No. 114,REP Precinct Chair No. 114,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Lieutenant Governor,DEM Attorney General,DEM Attorney General,DEM Attorney General,DEM Attorney General,
,,,,,REP,DEM,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,REP,DEM,DEM,DEM,DEM,DEM,DEM,DEM,DEM,
,,,VOTERS,BALLOTS CAST,BALLOTS CAST,BALLOTS CAST,Ken Paxton,John Cornyn,OVER VOTES,UNDER VOTES,Chip Roy,Mayes Middleton,OVER VOTES,UNDER VOTES,Jim Wright,Bo French,OVER VOTES,UNDER VOTES,Alison Fox,Thomas Smith,OVER VOTES,UNDER VOTES,Randy Farrar,Stephen Kallas,OVER VOTES,UNDER VOTES,Dakota Kridler,Brooke Peters,OVER VOTES,UNDER VOTES,Vikki Goodwin,Marcos Isaias Velez,OVER VOTES,UNDER VOTES,Nathan Johnson,Joe Jaworski,OVER VOTES,UNDER VOTES,
CAMER,0001,"PCT 001, 002, 044",9216,962,757,205,480,275,0,2,365,378,0,14,331,387,0,39,271,393,0,93,0,0,0,0,0,0,0,0,178,26,0,1,113,91,0,1,
CAMER,0002,"PCT 003, 098",4574,273,179,94,107,68,2,2,94,79,2,4,77,85,2,15,71,82,2,24,0,0,0,0,0,0,0,0,65,28,0,1,57,36,0,1,
CAMER,0003,"PCT 004, 096, 200",9013,741,644,97,461,182,0,1,282,354,0,8,278,322,0,44,214,341,0,89,0,0,0,0,0,0,0,0,74,20,0,3,61,34,0,2,
CAMER,0004,"PCT 005, 007, 082, 106, 113",10556,1028,846,182,539,306,0,1,383,448,1,14,396,397,0,53,314,431,0,101,0,0,0,0,0,0,0,0,151,31,0,0,113,67,0,2,
CAMER,0005,"PCT 006, 040, 147",7350,772,659,113,400,255,0,4,263,387,0,9,333,304,1,21,232,363,1,63,0,0,0,0,0,0,0,0,92,21,0,0,72,39,0,2,
CAMER,0006,"PCT 008, 100, 191",9264,544,478,66,361,117,0,0,192,282,0,4,181,282,0,15,166,271,0,41,0,0,0,0,0,0,0,0,50,16,0,0,42,24,0,0,
CAMER,0007,"PCT 009, 215, 257",9810,587,501,86,356,144,0,1,232,265,0,4,233,243,0,25,183,266,0,52,0,0,0,0,0,0,0,0,65,20,0,1,51,35,0,0,
CAMER,0008,"PCT 010, 037, 186",4691,682,647,35,458,189,0,0,276,360,1,10,289,326,0,32,218,352,0,77,0,0,0,0,0,0,0,0,31,3,1,0,14,21,0,0,
CAMER,0009,"PCT 011, 189, 256",7817,901,841,60,584,256,0,1,375,459,0,7,396,416,0,29,299,445,0,97,0,0,0,0,0,0,0,0,50,10,0,0,30,29,0,1,
CAMER,0010,"PCT 012, 122, 261",10219,1449,1299,150,786,511,0,2,565,702,0,32,499,712,0,88,437,697,1,164,613,504,0,182,0,0,0,0,128,21,0,1,79,68,0,3,
CAMER,0011,"PCT 013, 240, 273",8432,785,737,48,561,175,0,1,296,432,0,9,287,401,0,49,268,379,1,89,292,341,0,104,0,0,0,0,37,9,0,2,29,18,0,1,
CAMER,0012,"PCT 014, 167, 262",8446,706,561,145,331,227,1,2,277,272,1,11,236,266,0,59,198,264,0,99,198,257,0,106,0,0,0,0,121,24,0,0,82,61,0,2,
